Feature,Importance Score,Rank,Fold
Fast food (Y/N),0.009699418891382712,33,4
TSH (mIU/L),60.0,1,5
Blood Group,3.6329160093437975,2,5
Marraige Status (Yrs),3.575015069098744,3,5
Pimples(Y/N),2.2791862771551576,4,5
hair growth(Y/N),2.214660603346038,5,5
FSH(mIU/mL),1.8363342473508515,6,5
Cycle(R/I),1.7155006405504756,7,5
Avg. F size (R) (mm),1.7137888318852266,8,5
Pregnant(Y/N),1.699822736714545,9,5
Pulse rate(bpm) ,1.664492069847935,10,5
Skin darkening (Y/N),1.4098486083720512,11,5
Hair loss(Y/N),1.3851464350693816,12,5
BMI,1.3642038286155151,13,5
 Age (yrs),1.1148902700856869,14,5
RR (breaths/min),1.0103907583378418,15,5
Weight (Kg),0.8105012467364547,16,5
Waist:Hip Ratio,0.7004045192507088,17,5
Waist(inch),0.633508185880599,18,5
Weight gain(Y/N),0.5916032571597312,19,5
Follicle No. (R),0.5735595200096509,20,5
FSH/LH,0.5376929741155959,21,5
  I   beta-HCG(mIU/mL),0.5249759870585021,22,5
LH(mIU/mL),0.26848015811205456,23,5
Cycle length(days),0.2523881538233677,24,5
Hip(inch),0.2434352703797597,25,5
Fast food (Y/N),0.22957244000312732,26,5
BP _Diastolic (mmHg),0.08586751941125122,27,5
No. of aborptions,0.05371249898800745,28,5
BP _Systolic (mmHg),0.015622947963613644,29,5
Follicle No. (L),0.013773260152082524,30,5
Vit D3 (ng/mL),0.0008450797359890533,31,5
Reg.Exercise(Y/N),0.0005417785475748412,32,5
Height(Cm) ,3.357941006216355e-05,33,5
