Feature,Importance Score,Rank,Fold
Pregnant(Y/N),1.1609529815871031,12,4
Height(Cm) ,1.0403029750565704,13,4
Weight gain(Y/N),1.035274498554223,14,4
Pulse rate(bpm) ,0.4980683403037829,15,4
 Age (yrs),0.43496568314453105,16,4
Fast food (Y/N),0.3864134404678931,17,4
No. of aborptions,0.3370107703638261,18,4
BP _Systolic (mmHg),0.23881598569921872,19,4
Marraige Status (Yrs),0.20635887741641631,20,4
Blood Group,0.18577288017463195,21,4
Weight (Kg),0.11963489838778356,22,4
Waist(inch),0.09105028072543618,23,4
BP _Diastolic (mmHg),0.039427241208016106,24,4
Reg.Exercise(Y/N),0.034707103782606816,25,4
LH(mIU/mL),0.018732110110744812,26,4
BMI,0.008843326236493162,27,4
Skin darkening (Y/N),0.0040422824476208045,28,4
Waist:Hip Ratio,60.0,1,5
FSH/LH,55.0,2,5
Hair loss(Y/N),2.004593047031191,3,5
Fast food (Y/N),1.9707188163181646,4,5
LH(mIU/mL),1.2931907959889568,5,5
BMI,0.875380077367286,6,5
No. of aborptions,0.7972356379650536,7,5
Blood Group,0.78913179007069,8,5
 Age (yrs),0.5582705488807108,9,5
RR (breaths/min),0.3802281953916602,10,5
Hip(inch),0.3698462266255009,11,5
Weight (Kg),0.24342674799456535,12,5
Height(Cm) ,0.1929091503171201,13,5
BP _Diastolic (mmHg),0.17771218241683934,14,5
hair growth(Y/N),0.133770558416065,15,5
Skin darkening (Y/N),0.1037261866275242,16,5
Follicle No. (L),0.08180591865843324,17,5
Follicle No. (R),0.07413865167439812,18,5
Pimples(Y/N),0.05226110421529651,19,5
Weight gain(Y/N),0.03868836551067185,20,5
Pregnant(Y/N),0.031804970955102214,21,5
Cycle(R/I),0.028134192585552747,22,5
Waist(inch),0.01847614268441594,23,5
Reg.Exercise(Y/N),0.01607485296150308,24,5
Pulse rate(bpm) ,0.012070558411862005,25,5
BP _Systolic (mmHg),0.008840791242179754,26,5
Marraige Status (Yrs),0.007683789700581552,27,5
Cycle length(days),0.0029048758711209687,28,5
