Feature,Importance Score,Rank,Fold
PRG(ng/mL),0.4498644775043983,17,2
FSH/LH,0.4422239285587259,18,2
Marraige Status (Yrs),0.41657495489249213,19,2
Pulse rate(bpm) ,0.30464314832487027,20,2
Avg. F size (R) (mm),0.20830280366340034,21,2
 Age (yrs),0.12755355638825308,22,2
BP _Diastolic (mmHg),0.11293109276281613,23,2
Cycle length(days),0.09670894252250319,24,2
Reg.Exercise(Y/N),0.08605838316786993,25,2
Waist:Hip Ratio,0.0847219697346804,26,2
Weight (Kg),0.07923810150164555,27,2
Avg. F size (L) (mm),0.05374605267893181,28,2
Hip(inch),0.04064352051662114,29,2
RR (breaths/min),0.02223297318180957,30,2
Height(Cm) ,0.005512711749184188,31,2
Vit D3 (ng/mL),0.004332371390428151,32,2
Waist(inch),0.0010519854696672346,33,2
Hb(g/dl),0.00017360451429999688,34,2
FSH(mIU/mL),-7.956359341687886e+16,35,2
BMI,2.797048375043882,1,3
Endometrium (mm),1.9351811159556018,2,3
Hb(g/dl),1.2956511998719031,3,3
Hair loss(Y/N),1.142994406583195,4,3
Pimples(Y/N),0.9640462652959622,5,3
Weight gain(Y/N),0.6609393033409803,6,3
Fast food (Y/N),0.6317196758295966,7,3
Height(Cm) ,0.6252255728676244,8,3
Skin darkening (Y/N),0.5888018897725148,9,3
RR (breaths/min),0.5847631540609913,10,3
Blood Group,0.452378466336179,11,3
RBS(mg/dl),0.4061151480517673,12,3
Cycle(R/I),0.399198408507886,13,3
hair growth(Y/N),0.3570175401342276,14,3
Weight (Kg),0.3518687303024532,15,3
Follicle No. (R),0.27706612113272044,16,3
Cycle length(days),0.2767011425906378,17,3
PRG(ng/mL),0.2747558240881573,18,3
Marraige Status (Yrs),0.27367279806314654,19,3
BP _Diastolic (mmHg),0.27240737638963963,20,3
Reg.Exercise(Y/N),0.24388019360312452,21,3
Avg. F size (R) (mm),0.23018022406987493,22,3
LH(mIU/mL),0.20820722709749942,23,3
AMH(ng/mL),0.18745506131062778,24,3
 Age (yrs),0.18666069324967405,25,3
Waist(inch),0.17493361683056474,26,3
No. of aborptions,0.13209064495683212,27,3
Avg. F size (L) (mm),0.13204814592382647,28,3
Waist:Hip Ratio,0.010364285031569226,29,3
FSH/LH,0.010364285031533426,30,3
Hip(inch),0.0012281985610040277,31,3
Follicle No. (L),0.0002483895218057931,32,3
Pulse rate(bpm) ,9.648813169523476e-05,33,3
Vit D3 (ng/mL),6.937643116518969e-05,34,3
FSH(mIU/mL),-2.3869078025063638e+17,35,3
BP _Diastolic (mmHg),3.4304575771956287,1,4
Follicle No. (R),2.929525387520584,2,4
Weight gain(Y/N),2.431780118683289,3,4
Reg.Exercise(Y/N),2.2791507306840697,4,4
Pulse rate(bpm) ,2.0959340879827026,5,4
Endometrium (mm),1.777484395791637,6,4
Weight (Kg),1.2854901691808789,7,4
Pimples(Y/N),1.0955399766462557,8,4
Hb(g/dl),1.0333389083748448,9,4
Blood Group,0.9835038429704115,10,4
Waist(inch),0.8598187976911005,11,4
Hip(inch),0.8373416011638513,12,4
Fast food (Y/N),0.6592480158099702,13,4
Marraige Status (Yrs),0.6287437120167501,14,4
Cycle length(days),0.5360184331160635,15,4
RBS(mg/dl),0.5302050671392452,16,4
Height(Cm) ,0.5175425809617691,17,4
FSH/LH,0.5055047195684638,18,4
AMH(ng/mL),0.49447688412167423,19,4
Waist:Hip Ratio,0.4351729898136658,20,4
Skin darkening (Y/N),0.40676690222900436,21,4
Avg. F size (R) (mm),0.26407613299997623,22,4
RR (breaths/min),0.256566880272733,23,4
hair growth(Y/N),0.2424963302543005,24,4
Hair loss(Y/N),0.21344557727640248,25,4
 Age (yrs),0.21196526289019482,26,4
Cycle(R/I),0.16430218619937667,27,4
No. of aborptions,0.13186597556284219,28,4
BMI,0.09978497061279455,29,4
Avg. F size (L) (mm),0.0400658994773868,30,4
PRG(ng/mL),0.028784615093825218,31,4
LH(mIU/mL),0.02064429292633238,32,4
Vit D3 (ng/mL),0.00028178701493205904,33,4
Follicle No. (L),0.00022562039884921074,34,4
FSH(mIU/mL),-2.3869078025063638e+17,35,4
FSH(mIU/mL),60.0,1,5
LH(mIU/mL),34.44481125205663,2,5
No. of aborptions,3.3680062922847425,3,5
Cycle length(days),3.3411213906833557,4,5
Skin darkening (Y/N),2.6039394562156333,5,5
Hair loss(Y/N),2.257933556785969,6,5
BMI,2.1667303437340473,7,5
Follicle No. (L),1.8853328458683023,8,5
Avg. F size (R) (mm),1.7421180908361253,9,5
RR (breaths/min),1.4203656168058627,10,5
Weight (Kg),1.2542873105248449,11,5
Follicle No. (R),1.237215341136489,12,5
Hip(inch),1.2020402770940173,13,5
Weight gain(Y/N),1.1931399800348557,14,5
hair growth(Y/N),1.1843038266872838,15,5
 Age (yrs),0.9007053395167333,16,5
Hb(g/dl),0.6242722965889392,17,5
Waist(inch),0.6235669265405228,18,5
RBS(mg/dl),0.5293620904083515,19,5
Waist:Hip Ratio,0.39178666553598374,20,5
Pulse rate(bpm) ,0.3656670523454177,21,5
FSH/LH,0.36279697730226507,22,5
Vit D3 (ng/mL),0.3328949257828978,23,5
Pimples(Y/N),0.32096562247472876,24,5
Blood Group,0.23839611980540776,25,5
Marraige Status (Yrs),0.1630602791315671,26,5
Height(Cm) ,0.15580776087762233,27,5
Reg.Exercise(Y/N),0.14706903969110796,28,5
Avg. F size (L) (mm),0.13613306459284855,29,5
PRG(ng/mL),0.1338874745594381,30,5
Endometrium (mm),0.09261533124360688,31,5
BP _Diastolic (mmHg),0.04878159481125162,32,5
Cycle(R/I),0.023916643660654685,33,5
Fast food (Y/N),0.008818006393993856,34,5
AMH(ng/mL),0.002114045762293852,35,5
