Feature,Importance Score,Rank,Fold
Follicle No. (R),2.164629857014112,5,4
hair growth(Y/N),2.010055088902591,6,4
Pimples(Y/N),1.8278550181587703,7,4
Follicle No. (L),1.60731525925395,8,4
Hair loss(Y/N),1.514214153715356,9,4
Cycle length(days),1.2710181877203806,10,4
Height(Cm) ,1.0403029750565704,11,4
Weight gain(Y/N),1.035274498554223,12,4
Hb(g/dl),0.9563565990234706,13,4
Avg. F size (L) (mm),0.7898694008517084,14,4
Pulse rate(bpm) ,0.4980683403037829,15,4
 Age (yrs),0.43496568314453105,16,4
Fast food (Y/N),0.3864134404678931,17,4
No. of aborptions,0.3370107703638261,18,4
Avg. F size (R) (mm),0.2463375529325452,19,4
Marraige Status (Yrs),0.20635887741641631,20,4
Weight (Kg),0.11963489838778356,21,4
Waist(inch),0.09105028072543618,22,4
AMH(ng/mL),0.041112348821666256,23,4
Reg.Exercise(Y/N),0.034707103782606816,24,4
LH(mIU/mL),0.018732110110744812,25,4
BMI,0.008843326236493162,26,4
Skin darkening (Y/N),0.0040422824476208045,27,4
Vit D3 (ng/mL),0.0006868107450125551,28,4
Endometrium (mm),0.0004046429739855022,29,4
RBS(mg/dl),0.00013897288090896604,30,4
Waist:Hip Ratio,60.0,1,5
FSH/LH,55.0,2,5
Hair loss(Y/N),2.004593047031191,3,5
Fast food (Y/N),1.9707188163181646,4,5
LH(mIU/mL),1.2931907959889568,5,5
BMI,0.875380077367286,6,5
No. of aborptions,0.7972356379650536,7,5
 Age (yrs),0.5582705488807108,8,5
Hip(inch),0.3698462266255009,9,5
Weight (Kg),0.24342674799456535,10,5
Height(Cm) ,0.1929091503171201,11,5
hair growth(Y/N),0.133770558416065,12,5
Skin darkening (Y/N),0.1037261866275242,13,5
Follicle No. (L),0.08180591865843324,14,5
Follicle No. (R),0.07413865167439812,15,5
RBS(mg/dl),0.0720684823325222,16,5
Pimples(Y/N),0.05226110421529651,17,5
AMH(ng/mL),0.04937081133952717,18,5
Weight gain(Y/N),0.03868836551067185,19,5
Avg. F size (L) (mm),0.033602064439778444,20,5
Cycle(R/I),0.028134192585552747,21,5
Waist(inch),0.01847614268441594,22,5
Reg.Exercise(Y/N),0.01607485296150308,23,5
Pulse rate(bpm) ,0.012070558411862005,24,5
Endometrium (mm),0.010233215811139184,25,5
Marraige Status (Yrs),0.007683789700581552,26,5
Avg. F size (R) (mm),0.006026352476044807,27,5
Cycle length(days),0.0029048758711209687,28,5
Hb(g/dl),0.0019014175835891992,29,5
Vit D3 (ng/mL),0.0005503632874760781,30,5
